"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
621.37210831202,24.1137562179938,22.0883195719216,24.6689523023088,23.2123709691223,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1
667.455214975221,21.244594687596,20.3869995765854,21.9634451332968,24.5214829198085,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1
605.580324516726,22.1706256980542,23.230859542964,22.389794049086,20.5730361689348,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
638.464516811138,21.1030949454289,21.3616785651539,22.9400700773112,22.2955633548554,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1
616.854133297035,24.7028184763622,24.1234741953667,23.2108365383465,20.9626365010627,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0
579.94881755132,20.7727388164494,21.5395173872821,21.1517413845286,24.7912213159725,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
627.039549140894,23.863663058728,20.6415149092209,24.8491964291316,22.2187311190646,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0
630.8960920816,24.1903390758671,23.4822695120238,23.882876028074,21.961358966073,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0
642.73193778402,20.7510390691459,22.15342505835,24.8195247584954,21.1925799527671,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0
581.19893014082,21.4280859462451,20.2551650383975,21.5745731221978,20.1220158860087,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0
626.44041338233,20.0385529128835,24.4868822500575,20.6883297325112,20.0742674490903,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1
599.754547186411,23.4280981251504,20.2930644748267,22.1772999642417,21.6800148354378,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
655.550101045536,21.7449522973038,21.936210921267,22.7356863743626,21.973009739304,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
656.919098995096,23.1269150320441,24.7347143257502,24.3530867481604,23.9345297031105,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
